Data,xfilt,yfilt,xRaw,yRaw,pin0,pin1,pin2,pin3,pin4,
Data,174,-36,171,-37,0,0,0,0,0,

Data,174,-36,177,-37,0,0,0,0,0,

Data,174,-36,172,-37,0,0,0,0,0,

Data,174,-36,178,-37,0,0,0,0,0,

Data,174,-36,172,-37,0,0,0,0,0,

Data,174,-36,177,-37,0,0,0,0,0,

Data,174,-36,171,-37,0,0,0,0,0,

Data,174,-36,176,-37,0,0,0,0,0,

Data,173,-36,169,-37,0,0,0,0,0,

Data,172,-36,175,-37,0,0,0,0,0,

Data,172,-36,169,-37,0,0,0,0,0,

Data,172,-36,176,-37,0,0,0,0,0,

Data,173,-36,172,-37,0,0,0,0,0,

Data,175,-36,179,-37,0,0,0,0,0,

Data,176,-36,173,-37,0,0,0,0,0,

Data,176,-36,178,-37,0,0,0,0,0,

Data,176,-36,172,-37,0,0,0,0,0,

