Data,x,y,pin1,pin2,pin3,pin4,pin5,
Data,209,-37,0,0,0,0,0,

Data,205,-37,0,0,0,0,0,

Data,205,-37,0,0,0,0,0,

Data,204,-37,0,0,0,0,0,

Data,206,-37,0,0,0,0,0,

Data,205,-37,0,0,0,0,0,

Data,204,-37,0,0,0,0,0,

Data,199,-37,0,0,0,0,0,

Data,197,-37,0,0,0,0,0,

Data,193,-37,0,0,0,0,0,

Data,193,-37,0,0,0,0,0,

Data,189,-37,0,0,0,0,0,

Data,190,-37,0,0,0,0,0,

Data,189,-37,0,0,0,0,0,

Data,191,-37,0,0,0,0,0,

Data,188,-37,0,0,0,0,0,

Data,186,-37,0,0,0,0,0,

Data,182,-37,0,0,0,0,0,

Data,181,-37,0,0,0,0,0,

Data,177,-37,0,0,0,0,0,

Data,177,-37,0,0,0,0,0,

Data,176,-37,0,0,0,0,0,

Data,178,-37,0,0,0,0,0,

Data,172,-37,0,0,0,0,0,

Data,170,-37,0,0,0,0,0,

Data,164,-37,0,0,0,0,0,

Data,162,-37,0,0,0,0,0,

Data,155,-37,0,0,0,0,0,

Data,156,-37,0,0,0,0,0,

Data,152,-37,0,0,0,0,0,

Data,150,-37,0,0,0,0,0,

Data,142,-37,0,0,0,0,0,

Data,137,-37,0,0,0,0,0,

Data,129,-37,0,0,0,0,0,

Data,125,-37,0,0,0,0,0,

Data,119,-37,0,0,0,0,0,

Data,115,-37,0,0,0,0,0,

Data,105,-37,0,0,0,0,0,

Data,100,-37,0,0,0,0,0,

Data,92,-37,0,0,0,0,0,

Data,88,-37,0,0,0,0,0,

Data,82,-37,0,0,0,0,0,

Data,82,-37,0,0,0,0,0,

Data,74,-37,0,0,0,0,0,

Data,70,-37,0,0,0,0,0,

Data,62,-37,0,0,0,0,0,

Data,59,-37,0,0,0,0,0,

Data,52,-37,0,0,0,0,0,

Data,52,-37,0,0,0,0,0,

Data,43,-37,0,0,0,0,0,

